x,y,maxoutput
21,18,51.94411629
25,31,51.81241388
30,13,54.14676516
32,18,46.74039375
30,14,45.54596912
17,21,46.26812357
18,24,54.2211502
27,10,50.04190502
31,24,46.38651333
25,29,53.35585729
16,19,54.16981224
27,11,50.55356632
25,13,45.5472391
28,28,45.40186719
20,11,48.54997218
20,16,48.0219944
21,21,53.15980812
20,10,50.30051709
16,16,53.32105133
14,22,50.63918945
15,15,45.31733653
24,32,50.16548949
29,25,47.58049297
17,12,45.61104522
20,28,53.12331423
19,22,51.79628813
14,15,53.34058355
30,29,47.67000862
29,16,48.94518723
14,18,51.07946117
35,24,48.82801588
29,11,47.73944395
