x,y,maxoutput
13,35,44.09168174
15,40,55.71262043
14,40,39.38884807
16,47,62.28650955
4,40,36.37710418
5,29,40.77396592
8,42,49.57599547
9,26,48.83351279
14,48,64.79397046
0,38,41.12708974
11,34,38.62374353
12,38,38.40462319
18,44,40.87885768
12,50,56.40032746
15,45,60.93412813
1,43,47.39904077
1,29,39.81936486
4,44,42.61411328
17,35,43.25342339
8,33,49.04355789
17,44,63.56837786
15,29,58.39362925
10,25,46.87020086
3,35,64.6667857
16,50,39.51931013
13,33,57.5929688
0,26,43.44180597
4,38,39.14559958
7,29,52.8837846
6,42,40.7044132
10,27,51.50674585
8,50,50.04026027
12,41,41.16116018
16,29,60.91065902
5,35,44.58706876
3,25,38.40802103
