x,y,maxoutput
1,32,54.99730646
21,46,52.91142802
21,33,46.75613739
17,34,52.96938435
15,36,54.30849405
16,37,52.58547404
3,33,49.79974209
4,48,48.27297674
1,45,54.91354462
1,48,54.54461427
17,41,48.60918505
13,47,48.4395487
6,41,46.05322103
7,32,51.72717898
10,36,49.13738507
11,37,52.2305101
8,44,50.30256407
22,34,46.65187897
19,47,50.38289294
6,43,53.95936785
2,50,49.52760828
0,46,50.20207187
17,37,53.63429606
9,40,54.56844455
2,35,52.57995149
18,39,48.74438962
4,35,48.22881096
20,41,46.27510427
