x,y,maxoutput
14,21,36.40331775
8,19,64.06758851
15,19,41.79763764
5,29,40.77396592
9,26,48.83351279
0,38,41.12708974
19,28,54.48982494
11,34,38.62374353
5,19,58.6298162
17,21,59.05896036
21,29,49.50781665
1,29,39.81936486
3,18,57.36334288
8,33,49.04355789
15,29,58.39362925
10,25,46.87020086
3,35,64.6667857
2,19,52.89669021
18,18,38.48596722
2,18,62.12319013
13,33,57.5929688
0,26,43.44180597
4,38,39.14559958
24,26,38.69040639
7,29,52.8837846
10,27,51.50674585
16,29,60.91065902
5,35,44.58706876
3,25,38.40802103
