x,y,maxoutput
47,50,47.82087397
27,38,53.11777253
46,40,51.86891316
32,49,50.25432556
39,34,49.93506537
43,45,54.18469088
30,32,52.92581641
39,42,47.34915773
46,39,46.60969509
33,35,45.84094791
43,41,51.95373609
47,35,46.9524009
41,24,51.75273225
28,48,54.22966024
43,29,47.94582721
45,31,48.01065715
46,48,47.37788381
39,46,48.14242474
39,35,52.0929123
33,31,48.25043584
39,25,49.93311335
41,36,52.78210048
48,28,47.99198559
30,45,50.8435769
41,44,45.29702228
39,27,52.05437525
50,35,54.12515118
48,47,53.26904882
31,37,51.54326497
34,47,51.57104914
44,40,46.43816048
42,45,49.54607954
36,44,47.56339729
43,30,47.97674042
