x,y,maxoutput
30,13,54.14676516
48,4,45.24272018
32,18,46.74039375
49,15,54.75398768
32,3,47.04037014
30,14,45.54596912
42,4,53.46156177
41,24,51.75273225
27,10,50.04190502
38,3,49.86535747
31,24,46.38651333
27,11,50.55356632
25,13,45.5472391
31,8,45.78474275
50,0,53.71601636
30,7,45.2342213
50,15,53.95360569
50,21,51.82639703
41,12,52.38040091
29,25,47.58049297
45,2,53.48855448
29,7,50.91041056
46,4,47.6825473
33,3,53.3512745
36,14,51.58057128
40,8,45.17557463
37,21,54.7990422
37,5,47.92097158
30,5,45.25109877
29,16,48.94518723
36,8,51.83878558
35,24,48.82801588
29,11,47.73944395
