x,y,maxoutput
24,22,66.13020717
37,28,60.40913294
28,23,38.72179636
27,22,29.92408755
38,22,59.91115918
26,30,62.0133643
37,23,51.94608562
30,16,49.93687743
44,27,28.73871494
31,18,38.85647001
45,24,31.97506792
29,22,56.03511409
30,31,33.30314048
39,19,64.25603513
24,18,38.3766668
29,30,62.33504063
28,15,37.81128037
38,21,33.56390131
31,15,39.85726456
38,18,69.53106382
27,13,72.11411933
38,24,50.53984719
30,25,63.13649746
24,30,76.1538049
24,24,52.07076394
33,24,74.26615041
22,17,66.78438663
26,27,56.65609954
