x,y,maxoutput
3,9,47.72196575
15,0,48.43740503
18,10,53.98009231
17,21,46.26812357
12,21,53.63368373
11,23,48.85814641
16,19,54.16981224
14,6,49.72629004
8,12,46.01633925
0,19,51.03867367
8,13,46.46747877
16,1,48.70842308
2,5,51.62646163
4,2,52.76961749
6,17,46.01918212
16,16,53.32105133
14,22,50.63918945
9,11,52.8088529
15,10,54.53006205
6,22,46.51627586
15,15,45.31733653
0,4,45.16959822
10,24,53.76285577
17,12,45.61104522
20,5,48.31035497
8,20,46.13662116
14,15,53.34058355
10,3,50.74878243
6,0,47.77817151
3,16,53.54773542
6,2,48.23526882
14,18,51.07946117
