x,y,maxoutput
25,31,51.81241388
27,38,53.11777253
21,46,52.91142802
21,33,46.75613739
17,34,52.96938435
15,36,54.30849405
16,37,52.58547404
4,48,48.27297674
1,45,54.91354462
28,48,54.22966024
1,48,54.54461427
25,29,53.35585729
17,41,48.60918505
13,47,48.4395487
6,41,46.05322103
10,36,49.13738507
24,50,52.98566399
25,40,49.79777396
11,37,52.2305101
26,41,47.09131203
24,32,50.16548949
8,44,50.30256407
22,34,46.65187897
19,47,50.38289294
20,28,53.12331423
6,43,53.95936785
2,50,49.52760828
0,46,50.20207187
17,37,53.63429606
9,40,54.56844455
25,39,47.71839737
18,39,48.74438962
20,41,46.27510427
