x,y,maxoutput
24,22,66.13020717
37,28,60.40913294
28,23,38.72179636
27,22,29.92408755
47,6,41.78571625
38,22,59.91115918
37,23,51.94608562
48,4,58.90934923
47,16,31.4973607
30,16,49.93687743
45,1,59.63813712
44,27,28.73871494
31,18,38.85647001
45,24,31.97506792
50,3,60.5787997
43,14,59.68412189
29,22,56.03511409
30,31,33.30314048
39,19,64.25603513
29,30,62.33504063
38,21,33.56390131
31,15,39.85726456
38,18,69.53106382
38,24,50.53984719
30,25,63.13649746
24,24,52.07076394
33,24,74.26615041
39,14,49.16852893
26,27,56.65609954
