x,y,maxoutput
24,22,66.13020717
28,23,38.72179636
27,22,29.92408755
30,37,61.05026554
26,30,62.0133643
21,29,45.33453242
13,27,37.28002017
28,37,55.74063546
13,28,56.14106998
18,28,55.75694271
29,22,56.03511409
21,27,38.69411298
18,33,64.25056806
30,31,33.30314048
24,18,38.3766668
18,32,32.63123071
29,30,62.33504063
7,25,38.50460131
26,37,33.96614241
9,23,29.43663895
20,34,44.9319234
30,25,63.13649746
24,30,76.1538049
24,24,52.07076394
24,36,63.12900053
19,33,66.97873982
33,24,74.26615041
22,17,66.78438663
26,27,56.65609954
10,27,26.19979919
