x,y,maxoutput
14,21,36.40331775
3,4,36.90684143
4,1,35.82814756
10,4,64.52218421
17,9,49.84931475
8,19,64.06758851
15,19,41.79763764
5,3,54.13000914
20,2,39.31626881
1,1,52.204709
6,9,61.5437326
17,15,52.23919855
12,10,61.57329114
18,6,64.1795134
3,9,58.3986013
5,19,58.6298162
15,4,61.34791216
17,21,59.05896036
3,18,57.36334288
9,4,54.0265882
1,12,57.39706274
12,11,38.79808279
2,19,52.89669021
18,18,38.48596722
14,11,47.63820126
2,18,62.12319013
1,9,45.04775519
14,4,64.74853094
11,9,45.54974087
1,5,54.51204967
11,15,36.67499817
4,16,47.83949256
8,8,49.40039856
